a2-16.txt		10/10		238.198		0.34		238.198		0.34		44.842	345
a2-20.txt		10/10		280.998		0.69		280.998		0.69		92.998	371
a2-24.txt		10/10		346.21		0		    346.481		0.08		122.643	680
a3-18.txt		10/10		238.726		0.8		    238.726		0.8		    53.858	276
a3-24.txt		10/10		275.185		0.14		275.301		0.18		102.519	1191
a3-30.txt		10/10		414.878		0.39		415.272		0.48		182.022	2587
a3-36.txt		10/10		483.862		0.56		485.293		0.86		222.016	4636
a4-16.txt		10/10		222.488		0		    222.488		0		    37.723	281
a4-24.txt		10/10		311.478		0.21		311.478		0.21		90.139	1453
a4-32.txt		10/10		395.104		0.29		395.104		0.29		152.214	2503
a4-40.txt		10/10		457.84		0.88		458.669		1.06		254.607	2850
a4-48.txt		10/10		557.632		0.56		559.182		0.84		448.464	5914
a5-40.txt		10/10		415.624		0.27		416.517		0.48		265.852	3976
a5-50.txt		10/10		560.071		0.16		562.546		0.6		    467.647	4285
