a2-16		10/10		238.198		0.34		238.269		0.37		58.384	602
a2-20		10/10		282.624		0.69		282.624		0.69		109.395	337
a2-24		10/10		349.204		0.62		350.4		0.97		182.869	1566
a3-18		10/10		238.726		0.8		    238.726		0.8		    64.69	88
a3-24		10/10		275.185		0.14		275.185		0.14		137.074	767
a3-30		10/10		414.979		0.4		    415.835		0.6		    180.004	3773
a3-36		10/10		487.829		1.05		489.412		1.38		281.052	3992
a4-16		10/10		222.488		0		    222.488		0		    43.665	469
a4-24		10/10		311.478		0.14		311.478		0.14		131.408	669
a4-32		10/10		395.407		0.29		395.42		0.29		204.559	3723
a4-40		10/10		457.84		0.88		458.562		1.04		313.135	2785
a4-48		10/10		558.806		0.76		561.021		1.16		648.276	5433
a5-40		10/10		415.624		0.27		416.998		0.6		    324.169	3951
a5-50		10/10		561.736		0.4		    565.272		1.03		627.544	5023
